Element Type,OS,Label,Value,Accessibility Label,SnapshotId,Coordinates,screenshot_url,element_udid,package_name,highlighted_image
android.widget.ImageView,android,,,,316552,"{""x"":90.37,""y"":25.708,""height"":2.167,""width"":4.815}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-ef762a4b.jpeg,527771-cefcc818-2101-4bd8-9ca3-bff41d291ef1,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316552_527771-cefcc818-2101-4bd8-9ca3-bff41d291ef1.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":32.963,""y"":5.5,""height"":12.125,""width"":34.074}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1327323-5445fb47-f489-4a89-b48b-6a16989d9f2e,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1327323-5445fb47-f489-4a89-b48b-6a16989d9f2e.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":10.0,""y"":26.833,""height"":1.625,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1335011-af6ad80a-cd8b-45db-9a01-e076bbd0daaa,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1335011-af6ad80a-cd8b-45db-9a01-e076bbd0daaa.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":10.0,""y"":30.167,""height"":1.625,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1336933-9264f98d-94eb-4dce-84fc-df8c46d0bc6c,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1336933-9264f98d-94eb-4dce-84fc-df8c46d0bc6c.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":10.0,""y"":33.5,""height"":1.625,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1338855-e1a23885-3815-49a4-8ebe-9fbb7310dc4f,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1338855-e1a23885-3815-49a4-8ebe-9fbb7310dc4f.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":27.778,""y"":61.292,""height"":1.083,""width"":2.87}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1355192-ea69b425-4ffc-4194-95ad-576d90db10d5,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1355192-ea69b425-4ffc-4194-95ad-576d90db10d5.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":27.778,""y"":66.625,""height"":1.667,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1358075-254c0883-5c75-4117-8569-bbb4152dd037,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1358075-254c0883-5c75-4117-8569-bbb4152dd037.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":27.778,""y"":72.208,""height"":1.667,""width"":3.611}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1360958-a1acf82e-535b-4108-be22-c65c6bb0775e,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1360958-a1acf82e-535b-4108-be22-c65c6bb0775e.jpeg
android.widget.ImageView,android,,,,316555,"{""x"":32.963,""y"":5.5,""height"":12.125,""width"":34.074}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-0cf00a49.jpeg,515278-295b9cfa-5d5e-4598-9980-0e27b561b974,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316555_515278-295b9cfa-5d5e-4598-9980-0e27b561b974.jpeg
android.widget.ImageView,android,,,,316558,"{""x"":27.778,""y"":77.958,""height"":1.333,""width"":2.87}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-c1209fe1.jpeg,1363841-6aced9a7-6617-4720-9a54-9b466c433a3c,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316558_1363841-6aced9a7-6617-4720-9a54-9b466c433a3c.jpeg
